2026-03-21 13:43:24 [info     ] sqlite_store.opening           path=data\eval_events.db
2026-03-21 13:43:24 [info     ] sqlite_store.pragmas_applied   busy_timeout=15000 cache_size=-64000 journal_mode=WAL mmap_size=268435456 synchronous=NORMAL wal_autocheckpoint=1000
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:43:25 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:43:25 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:43:25 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:43:25 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:43:25 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:43:25 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:43:25 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:43:25 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:43:25 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:43:25 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:43:25 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:43:25 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:43:25 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:43:25 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:43:25 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:43:25 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:43:25 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:43:25 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:43:25 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:43:25 [info     ] memory_store.rebuilt           entries=19
2026-03-21 13:43:25 [info     ] eval.memory_store_rebuilt      entries=19
2026-03-21 13:43:25 [debug    ] sqlite_store.appended          address=seq-smoke-scaffold-e9aeb600c9d9 seq=652 type=WorkspaceCreated
2026-03-21 13:43:25 [debug    ] sqlite_store.appended          address=seq-smoke-scaffold-e9aeb600c9d9/seq-smoke-scaffold-e9aeb600c9d9 seq=653 type=ThreadCreated
2026-03-21 13:43:25 [info     ] sequential.task_start          fast_path=False knowledge_mode=accumulate max_rounds=5 of=2 sequence=1 strategy=sequential suite=smoke-scaffold task_id=csv-analyzer
2026-03-21 13:43:25 [debug    ] sqlite_store.appended          address=seq-smoke-scaffold-e9aeb600c9d9/seq-smoke-scaffold-e9aeb600c9d9/colony-a337c23f seq=654 type=ColonySpawned
2026-03-21 13:43:25 [info     ] colony_manager.started         colony_id=colony-a337c23f
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=True
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=True
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=True
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=True
2026-03-21 13:43:25 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=True
2026-03-21 13:43:25 [debug    ] qdrant.hybrid_search           collection=skill_bank_v2 hits=0 top_k=5
2026-03-21 13:43:25 [debug    ] code_analysis.done             companions=1 edges=0 files=10
2026-03-21 13:43:25 [debug    ] sqlite_store.appended          address=seq-smoke-scaffold-e9aeb600c9d9/seq-smoke-scaffold-e9aeb600c9d9/colony-a337c23f seq=655 type=RoundStarted
2026-03-21 13:43:25 [debug    ] sqlite_store.appended          address=seq-smoke-scaffold-e9aeb600c9d9/seq-smoke-scaffold-e9aeb600c9d9/colony-a337c23f seq=656 type=ColonyChatMessage
2026-03-21 13:43:25 [debug    ] sqlite_store.appended          address=seq-smoke-scaffold-e9aeb600c9d9/seq-smoke-scaffold-e9aeb600c9d9/colony-a337c23f seq=657 type=PhaseEntered
2026-03-21 13:43:25 [debug    ] sqlite_store.appended          address=seq-smoke-scaffold-e9aeb600c9d9/seq-smoke-scaffold-e9aeb600c9d9/colony-a337c23f seq=658 type=PhaseEntered
2026-03-21 13:43:25 [debug    ] sqlite_store.appended          address=seq-smoke-scaffold-e9aeb600c9d9/seq-smoke-scaffold-e9aeb600c9d9/colony-a337c23f seq=659 type=PhaseEntered
2026-03-21 13:43:25 [debug    ] sqlite_store.appended          address=seq-smoke-scaffold-e9aeb600c9d9/seq-smoke-scaffold-e9aeb600c9d9/colony-a337c23f seq=660 type=PhaseEntered
