2026-03-21 13:25:13 [info     ] sqlite_store.opening           path=data\eval_events.db
2026-03-21 13:25:13 [info     ] sqlite_store.pragmas_applied   busy_timeout=15000 cache_size=-64000 journal_mode=WAL mmap_size=268435456 synchronous=NORMAL wal_autocheckpoint=1000
2026-03-21 13:25:14 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:25:14 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:25:14 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:25:14 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:25:14 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:25:14 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:25:14 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:25:14 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:25:14 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:25:14 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:25:14 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:25:14 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:25:14 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:25:14 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:25:14 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:25:14 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:25:14 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:25:14 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:25:14 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:25:14 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:25:14 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=False
2026-03-21 13:25:14 [debug    ] qdrant.upserted                collection=institutional_memory count=1 hybrid=True
2026-03-21 13:25:14 [info     ] memory_store.rebuilt           entries=11
2026-03-21 13:25:14 [info     ] eval.memory_store_rebuilt      entries=11
2026-03-21 13:25:14 [debug    ] sqlite_store.appended          address=seq-smoke-scaffold-2ecca940e9da seq=361 type=WorkspaceCreated
2026-03-21 13:25:14 [debug    ] sqlite_store.appended          address=seq-smoke-scaffold-2ecca940e9da/seq-smoke-scaffold-2ecca940e9da seq=362 type=ThreadCreated
2026-03-21 13:25:14 [info     ] sequential.task_start          fast_path=False knowledge_mode=accumulate max_rounds=5 of=2 sequence=1 strategy=sequential suite=smoke-scaffold task_id=csv-analyzer
2026-03-21 13:25:14 [debug    ] sqlite_store.appended          address=seq-smoke-scaffold-2ecca940e9da/seq-smoke-scaffold-2ecca940e9da/colony-c2be91c0 seq=363 type=ColonySpawned
2026-03-21 13:25:14 [info     ] colony_manager.started         colony_id=colony-c2be91c0
2026-03-21 13:25:14 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=True
2026-03-21 13:25:14 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=True
2026-03-21 13:25:14 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=True
2026-03-21 13:25:14 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=True
2026-03-21 13:25:14 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=True
2026-03-21 13:25:14 [debug    ] qdrant.hybrid_search           collection=skill_bank_v2 hits=0 top_k=5
2026-03-21 13:25:14 [debug    ] code_analysis.done             companions=0 edges=0 files=5
2026-03-21 13:25:14 [debug    ] sqlite_store.appended          address=seq-smoke-scaffold-2ecca940e9da/seq-smoke-scaffold-2ecca940e9da/colony-c2be91c0 seq=364 type=RoundStarted
2026-03-21 13:25:14 [debug    ] sqlite_store.appended          address=seq-smoke-scaffold-2ecca940e9da/seq-smoke-scaffold-2ecca940e9da/colony-c2be91c0 seq=365 type=ColonyChatMessage
2026-03-21 13:25:14 [debug    ] sqlite_store.appended          address=seq-smoke-scaffold-2ecca940e9da/seq-smoke-scaffold-2ecca940e9da/colony-c2be91c0 seq=366 type=PhaseEntered
2026-03-21 13:25:14 [debug    ] sqlite_store.appended          address=seq-smoke-scaffold-2ecca940e9da/seq-smoke-scaffold-2ecca940e9da/colony-c2be91c0 seq=367 type=PhaseEntered
2026-03-21 13:25:14 [debug    ] sqlite_store.appended          address=seq-smoke-scaffold-2ecca940e9da/seq-smoke-scaffold-2ecca940e9da/colony-c2be91c0 seq=368 type=PhaseEntered
2026-03-21 13:25:14 [debug    ] sqlite_store.appended          address=seq-smoke-scaffold-2ecca940e9da/seq-smoke-scaffold-2ecca940e9da/colony-c2be91c0 seq=369 type=PhaseEntered
2026-03-21 13:25:14 [debug    ] compute_router.unavailable_provider fallback=llama-cpp/gpt-4 prefix=anthropic selected=anthropic/claude-sonnet-4.6
2026-03-21 13:25:14 [info     ] compute_router.route           budget_remaining=1.5 caste=coder phase=execute reason=adapter_fallback round_num=1 selected=llama-cpp/gpt-4
2026-03-21 13:25:14 [debug    ] sqlite_store.appended          address=seq-smoke-scaffold-2ecca940e9da/seq-smoke-scaffold-2ecca940e9da/colony-c2be91c0 seq=370 type=AgentTurnStarted
2026-03-21 13:25:14 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=True
2026-03-21 13:25:14 [debug    ] qdrant.hybrid_search           collection=skill_bank_v2 hits=0 top_k=8
2026-03-21 13:25:15 [info     ] qdrant.collection_created      collection=scratch_colony-c2be91c0 dimensions=1024 hybrid=True
2026-03-21 13:25:16 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=True
2026-03-21 13:25:16 [debug    ] qdrant.hybrid_search           collection=scratch_colony-c2be91c0 hits=0 top_k=3
2026-03-21 13:25:16 [info     ] qdrant.collection_created      collection=seq-smoke-scaffold-2ecca940e9da dimensions=1024 hybrid=True
2026-03-21 13:25:16 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=True
2026-03-21 13:25:16 [debug    ] qdrant.hybrid_search           collection=seq-smoke-scaffold-2ecca940e9da hits=0 top_k=3
2026-03-21 13:25:16 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=True
2026-03-21 13:25:16 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=True
2026-03-21 13:25:16 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=True
2026-03-21 13:25:16 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=True
2026-03-21 13:25:16 [debug    ] qwen3_embed.ok                 count=1 dim=1024 is_query=True
2026-03-21 13:25:16 [debug    ] qdrant.hybrid_search           collection=skill_bank_v2 hits=0 top_k=6
